route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
860010,RTC,"1",,"Station Belvédère - Gare fluviale / Cap-Blanc",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=1,013888,FFFFFF
860030,RTC,"3",,"Vieux-Québec / colline Parlementaire - Sainte-Odile",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=3,013888,FFFFFF
860040,RTC,"4",,"Place Jacques-Cartier - Maizerets",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=4,013888,FFFFFF
860110,RTC,"11",,"Place D'Youville / Vieux-Québec - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=11,013888,FFFFFF
860130,RTC,"13",,"Saint-Louis/Sainte-Foy Centre/du Versant-Nord - Du Versant-Nord/Sainte-Foy Centre/Saint-Louis",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13,013888,FFFFFF
860140,RTC,"14",,"Pointe-de-Sainte-Foy - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14,013888,FFFFFF
860150,RTC,"15",,"Pointe-de-Sainte-Foy - Cap-Rouge",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15,013888,FFFFFF
860160,RTC,"16",,"Sillery / U. Laval / Sainte-Foy Centre - U. Laval / Sillery / Sainte-Foy Centre",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=16,013888,FFFFFF
860180,RTC,"18",,"Gare du Palais - Université Laval",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=18,013888,FFFFFF
860190,RTC,"19",,"Grand Théâtre - Limoilou",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=19,013888,FFFFFF
860210,RTC,"21",,"Gare fluviale - Place D'Youville",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=21,013888,FFFFFF
860250,RTC,"25",,"Place D'Youville / Gare du Palais - Pointe-de-Sainte-Foy",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=25,013888,FFFFFF
860280,RTC,"28",,"Colline Parlementaire - 51e Rue Est",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=28,013888,FFFFFF
860310,RTC,"31",,"Terminus du Zoo - Lac-Saint-Charles",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=31,013888,FFFFFF
860320,RTC,"32",,"Terminus du Zoo - Lac Clément",3,http://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=32,013888,FFFFFF
