route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868024,20163611multiint-0000001,48944859-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868074,20163611multiint-0000001,48943360-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
860190,20163611multiint-0000001,48943462-20163611multiint-0000001,"Grand Théâtre (Sud)",,1,,01900016,2
860190,20163611multiint-0000001,48943426-20163611multiint-0000001,"Limoilou (Nord)",,0,,01900002,2
860030,20163611multiint-0000001,48942644-20163611multiint-0000001,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163611multiint-0000001,48942684-20163611multiint-0000001,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860280,20163611multiint-0000001,48945178-20163611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
860280,20163611multiint-0000001,48945143-20163611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
860280,20163611multiint-0000001,48945180-20163611multiint-0000001,"51e Rue Est (Nord)",,0,,02800028,2
860280,20163611multiint-0000001,48945145-20163611multiint-0000001,"Colline Parlementaire (Sud)",,1,,02800025,2
860030,20163611multiint-0000001,48942650-20163611multiint-0000001,"Sainte-Odile (Nord)",,0,,00300122,2
860030,20163611multiint-0000001,48942690-20163611multiint-0000001,"Vieux-Québec / colline Parlementaire (Sud)",,1,,00300121,2
860930,20163611multiint-0000001,48944361-20163611multiint-0000001,"Champigny (Nord)",,0,,09300294,2
860750,20163611multiint-0000001,48942850-20163611multiint-0000001,"Loretteville (Nord)",,0,,07500124,2
860750,20163611multiint-0000001,48942853-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860750,20163611multiint-0000001,48942858-20163611multiint-0000001,"Loretteville (Nord)",,0,,07500124,2
860750,20163611multiint-0000001,48942861-20163611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,07500214,2
860750,20163611multiint-0000001,48942866-20163611multiint-0000001,"Loretteville (Nord)",,0,,07500124,2
860010,20163611multiint-0000001,48943620-20163611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,2
860840,20163611multiint-0000001,48944263-20163611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08400214,2
860180,20163611multiint-0000001,48943676-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943685-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860820,20163611multiint-0000001,48944244-20163611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08200043,2
860010,20163611multiint-0000001,48943599-20163611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,2
860820,20163611multiint-0000001,48944236-20163611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,08200065,2
860010,20163611multiint-0000001,48943627-20163611multiint-0000001,"Station Belvédère (Nord)",,0,,00100326,2
860010,20163611multiint-0000001,48943602-20163611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100357,2
860180,20163611multiint-0000001,48943687-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943678-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860180,20163611multiint-0000001,48943688-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943679-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860180,20163611multiint-0000001,48943689-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943680-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860180,20163611multiint-0000001,48943690-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943681-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860180,20163611multiint-0000001,48943691-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943682-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860180,20163611multiint-0000001,48943692-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943683-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
860180,20163611multiint-0000001,48943693-20163611multiint-0000001,"Université Laval (Ouest)",,1,,01800011,2
860180,20163611multiint-0000001,48943684-20163611multiint-0000001,"Gare du Palais (Est)",,0,,01800207,2
