service_id,date,exception_type
20163011multiint-1111000,20161108,1
20163011multiint-1111100,20161108,1
20163011multiint-1111000,20161109,1
20163011multiint-1111100,20161109,1
20163011multiint-0001100,20161110,1
20163011multiint-1111000,20161110,1
20163011multiint-1111100,20161110,1
20163011multiint-0000100,20161111,1
20163011multiint-0001100,20161111,1
20163011multiint-1111100,20161111,1
20163511multiint-0000010,20161112,1
20163611multiint-0000001,20161113,1
20163011multiint-1111000,20161114,1
20163011multiint-1111100,20161114,1
20163011multiint-1111000,20161115,1
20163011multiint-1111100,20161115,1
20163011multiint-1111000,20161116,1
20163011multiint-1111100,20161116,1
20163011multiint-0001100,20161117,1
20163011multiint-1111000,20161117,1
20163011multiint-1111100,20161117,1
20163011multiint-0000100,20161118,1
20163011multiint-0001100,20161118,1
20163011multiint-1111100,20161118,1
20163511multiint-0000010,20161119,1
20163611multiint-0000001,20161120,1
20163011multiint-1111000,20161121,1
20163011multiint-1111100,20161121,1
20163011multiint-1111000,20161122,1
20163011multiint-1111100,20161122,1
20163011multiint-1111000,20161123,1
20163011multiint-1111100,20161123,1
20163011multiint-0001100,20161124,1
20163011multiint-1111000,20161124,1
20163011multiint-1111100,20161124,1
20163011multiint-0000100,20161125,1
20163011multiint-0001100,20161125,1
20163011multiint-1111100,20161125,1
20163511multiint-0000010,20161126,1
20163611multiint-0000001,20161127,1
20163011multiint-1111000,20161128,1
20163011multiint-1111100,20161128,1
20163011multiint-1111000,20161129,1
20163011multiint-1111100,20161129,1
20163011multiint-1111000,20161130,1
20163011multiint-1111100,20161130,1
20163011multiint-0001100,20161201,1
20163011multiint-1111000,20161201,1
20163011multiint-1111100,20161201,1
20163011multiint-0000100,20161202,1
20163011multiint-0001100,20161202,1
20163011multiint-1111100,20161202,1
